measurement,time,valuie
light,2025-04-25T21:20:15.817107Z,0.0
light,2025-04-25T21:25:15.734029Z,0.0
light,2025-04-25T21:30:15.834923Z,0.0
light,2025-04-25T21:35:15.942905Z,0.0
light,2025-04-25T21:40:15.905070Z,0.0
light,2025-04-25T21:45:15.957677Z,0.0
light,2025-04-25T21:50:15.995148Z,0.0
light,2025-04-25T21:55:16.036556Z,0.0
light,2025-04-25T22:00:15.977930Z,0.0
light,2025-04-25T22:05:16.021891Z,0.0
light,2025-04-25T22:10:15.964740Z,0.0
light,2025-04-25T22:15:16.009554Z,0.0
light,2025-04-25T22:20:16.042710Z,0.0
light,2025-04-25T22:25:15.945698Z,0.0
light,2025-04-25T22:30:15.966568Z,0.0
light,2025-04-25T22:35:15.995526Z,0.0
light,2025-04-25T22:40:15.926899Z,0.0
light,2025-04-25T22:45:15.962691Z,0.0
light,2025-04-25T22:50:16.000098Z,0.0
light,2025-04-25T22:55:15.935667Z,0.0
light,2025-04-25T23:00:15.973906Z,0.0
light,2025-04-25T23:05:16.012726Z,0.0
light,2025-04-25T23:10:16.051732Z,0.0
light,2025-04-25T23:15:15.988559Z,0.0
light,2025-04-25T23:20:16.027501Z,0.0
light,2025-04-25T23:25:16.067109Z,0.0
light,2025-04-25T23:30:16.003298Z,0.0
light,2025-04-25T23:35:16.042782Z,0.0
light,2025-04-25T23:40:16.081987Z,0.0
light,2025-04-25T23:45:16.002580Z,0.0
light,2025-04-25T23:50:15.985243Z,0.0
light,2025-04-25T23:55:15.998818Z,0.0
light,2025-04-26T00:00:15.918601Z,0.0
light,2025-04-26T00:05:15.963345Z,0.0
light,2025-04-26T00:10:16.005825Z,0.0
light,2025-04-26T00:15:16.043203Z,0.0
light,2025-04-26T00:20:15.975036Z,0.0
light,2025-04-26T00:25:16.007015Z,0.0
light,2025-04-26T00:30:16.038077Z,0.0
light,2025-04-26T00:35:15.966948Z,0.0
light,2025-04-26T00:40:15.992396Z,0.0
light,2025-04-26T00:45:16.019373Z,0.0
light,2025-04-26T00:50:15.945580Z,0.0
light,2025-04-26T00:55:15.973620Z,0.0
light,2025-04-26T01:00:16.002577Z,0.0
light,2025-04-26T01:05:15.929356Z,0.0
light,2025-04-26T01:10:15.962508Z,0.0
light,2025-04-26T01:15:16.029804Z,0.0
light,2025-04-26T01:20:15.958096Z,0.0
light,2025-04-26T01:25:15.977166Z,0.0
light,2025-04-26T01:30:15.980126Z,0.0
light,2025-04-26T01:35:15.995086Z,0.0
light,2025-04-26T01:40:15.996609Z,0.0
light,2025-04-26T01:45:15.998037Z,0.0
light,2025-04-26T01:50:15.999279Z,0.0
light,2025-04-26T01:55:16.001139Z,0.0
